Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
            ,0.00,,Other,ACH DEPOSIT SEN(20241111172181)      ,2024-11-12,2024-11-12,0.00,3000.00,0.00,0.00,         ,Financial
            ,0.00,,Other,ACH DEPOSIT SEN(20241113194855)      ,2024-11-13,2024-11-13,0.00,200.00,0.00,0.00,         ,Financial
            ,0.00,,Other,ACH DEPOSIT SEN(20241113076890)      ,2024-11-13,2024-11-13,0.00,1000.00,0.00,0.00,         ,Financial
TSLA        ,3.00,328.5856,BUY,TESLA INC                      COMMON STOCK                   UNSOLICITED                                                                                                                                               ,2024-11-13,2024-11-14,0.00,-985.76,0.00,0.00,88160R101,Trade
IAG         ,2.00,4.97,BUY,***IAMGOLD CORP                UNSOLICITED                                                                                                                                                                              ,2024-11-15,2024-11-18,0.00,-9.94,0.00,0.00,450913108,Trade
GRAB        ,125.00,4.9689,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2024-11-18,2024-11-19,0.00,-621.11,0.00,0.00,G4124C109,Trade
IAG         ,20.00,5.2691,BUY,***IAMGOLD CORP                UNSOLICITED                                                                                                                                                                              ,2024-11-18,2024-11-19,0.00,-105.38,0.00,0.00,450913108,Trade
GRAB        ,20.00,4.9692,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2024-11-18,2024-11-19,0.00,-99.38,0.00,0.00,G4124C109,Trade
NVDA        ,4.00,139.9493,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2024-11-18,2024-11-19,0.00,-559.8,0.00,0.00,67066G104,Trade
IAG         ,8.00,5.3,BUY,***IAMGOLD CORP                UNSOLICITED                                                                                                                                                                              ,2024-11-18,2024-11-19,0.00,-42.4,0.00,0.00,450913108,Trade
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0 1/4  11/12 THRU 11/15      ,2024-11-18,2024-11-18,0.00,0.09,0.00,0.00,00099A109,Financial
GRAB        ,10.00,4.75,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2024-11-18,2024-11-19,0.00,-47.5,0.00,0.00,G4124C109,Trade
QQQM        ,1.00,204.99,BUY,INVESCO EXCHANGE TRADED FD TR  II INVESCO NASDAQ 100 ETF      UNSOLICITED                                                                                                                                               ,2024-11-18,2024-11-19,0.00,-204.99,0.00,0.00,46138G649,Trade
NVDA        ,2.00,141.9,BUY,NVIDIA CORP                    UNSOLICITED                                                                                                                                                                              ,2024-11-22,2024-11-25,0.00,-283.8,0.00,0.00,67066G104,Trade
GRAB        ,55.00,5.43,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2024-11-22,2024-11-25,0.00,-298.65,0.00,0.00,G4124C109,Trade
            ,0.00,,Other,ACH DEPOSIT SEN(20241122011123)      ,2024-11-22,2024-11-22,0.00,300.00,0.00,0.00,         ,Financial
GRAB        ,35.00,5.0593,BUY,***GRAB HOLDINGS LIMITED       CLASS A ORDINARY SHARES        UNSOLICITED                                                                                                                                               ,2024-11-22,2024-11-25,0.00,-177.08,0.00,0.00,G4124C109,Trade
